seed,condition,label,score_manifold,score_naive
48,zz_scale_0.05,1,3.855038090836335,8.463759508713828
48,zz_scale_0.05,1,4.24711899722868,8.921917921688241
48,zz_scale_0.05,1,3.7778494695352514,8.484059107901961
48,zz_scale_0.05,1,3.6451486108886484,7.953583411404241
48,zz_scale_0.05,1,3.5637081929881487,8.630048253470555
48,zz_scale_0.05,1,3.6992787567528773,8.39342180255515
48,zz_scale_0.05,1,3.8934890488467797,8.360297593787438
48,zz_scale_0.05,1,4.08480661398258,9.15719115801343
48,zz_scale_0.05,1,3.9585850803646965,8.527244889409129
48,zz_scale_0.05,1,3.913903678657365,8.827480659467996
48,zz_scale_0.05,1,3.5567827361921647,7.906351426495216
48,zz_scale_0.15,1,3.8012447096398936,9.084541990094907
48,zz_scale_0.15,1,4.042924853129778,8.343132861663495
48,zz_scale_0.15,1,4.240524377996615,8.52436901311405
48,zz_scale_0.15,1,4.119104537915987,8.393352139155631
48,zz_scale_0.15,1,3.8609156703806304,8.340591800910252
48,zz_scale_0.15,1,3.924026688798745,7.957560946501183
48,zz_scale_0.15,1,3.752055818451208,8.049380316792636
48,zz_scale_0.15,1,4.222599831679228,8.634776224160971
48,zz_scale_0.15,1,3.893413668398337,8.519329451404861
48,zz_scale_0.15,1,4.341839437974388,8.567649678481786
48,zz_scale_0.15,1,4.336492255146803,8.62479739114196
48,zz_scale_0.15,1,5.04895668813585,9.463831641675613
48,zz_scale_0.15,1,4.346021923865401,8.818608341820747
48,zz_scale_0.15,1,4.104281922841364,8.555213879845184
48,zz_scale_0.15,1,5.167021553730694,9.533842843161558
48,zz_scale_0.3,1,5.654121274993596,10.34502421714177
48,zz_scale_0.3,1,5.2924878084457685,9.600263756002539
48,zz_scale_0.3,1,4.979551411612418,9.896625003422868
48,zz_scale_0.3,1,5.285083513510359,9.604902385723292
48,zz_scale_0.3,1,5.329526329598057,10.284864785771298
48,zz_scale_0.3,1,5.916864828118809,10.221309259798764
48,zz_scale_0.3,1,5.309843108705757,10.767474039599994
48,zz_scale_0.3,1,5.2602802271699,10.334507592632086
48,zz_scale_0.3,1,5.25416962832966,9.465507692085108
48,zz_scale_0.3,1,5.588219491610901,10.107159167239168
48,zz_scale_0.3,1,5.300817266320843,9.397462051613484
48,zz_scale_0.3,1,5.858232762586163,9.879122576967958
48,zz_scale_0.3,1,4.330720944481388,9.409376253427428
48,zz_scale_0.3,1,4.472418450914737,9.584149583909856
48,zz_scale_0.3,1,5.327523658436645,10.389410927153952
48,zz_scale_0.6,1,6.913643588333591,12.182279372106391
48,zz_scale_0.6,1,6.2321544047951125,11.50063070258946
48,zz_scale_0.6,1,5.959799165478094,11.46419862738068
