seed,noise_p,condition,label,delta_pilot
45,0.01,zz_full,1,6.573873839829396
45,0.01,zz_full,1,5.683856076144799
45,0.01,zz_full,1,6.211070821293619
45,0.01,zz_full,1,6.243748196634893
45,0.01,zz_full,1,5.916295609835823
45,0.01,zz_full,1,5.885418819583306
45,0.01,zz_full,1,5.804765867066491
45,0.01,zz_full,1,6.363912364582114
45,0.01,zz_full,1,6.7485323768304815
45,0.01,zz_full,1,6.366787618917591
45,0.01,zz_full,1,6.6636233523980115
45,0.01,zz_full,1,6.266793306900963
45,0.01,zz_full,1,5.788695071546966
45,0.01,zz_full,1,6.264418922241113
45,0.01,zz_full,1,6.180596712158108
45,0.01,z_only,1,5.287217173414417
45,0.01,z_only,1,6.124407280270349
45,0.01,z_only,1,6.20406288422969
45,0.01,z_only,1,5.311768906002584
45,0.01,z_only,1,5.638670763315814
45,0.01,z_only,1,5.932692183307746
45,0.01,z_only,1,5.3327402614979595
45,0.01,z_only,1,5.974952271594013
45,0.01,z_only,1,5.185259704505748
45,0.01,z_only,1,6.266987213114849
45,0.01,z_only,1,5.715845238871541
45,0.01,z_only,1,5.690231778064707
45,0.01,z_only,1,6.233947071019068
45,0.01,z_only,1,6.093653766502208
45,0.01,z_only,1,5.952707141124678
45,0.02,clean,0,4.373859720581332
45,0.02,clean,0,4.140915268341893
45,0.02,clean,0,3.992655398664914
45,0.02,clean,0,3.6236005777687232
45,0.02,clean,0,3.3647336252110507
45,0.02,clean,0,3.93856612251297
45,0.02,clean,0,3.8703699471768607
45,0.02,clean,0,3.6747634273982017
45,0.02,clean,0,3.725604231883643
45,0.02,clean,0,4.172127370502233
45,0.02,clean,0,4.0107911215346315
45,0.02,clean,0,3.679182225076193
45,0.02,clean,0,4.23329779363872
45,0.02,clean,0,4.102526075379421
45,0.02,clean,0,3.9220142557186874
45,0.02,zz_full,1,6.106405073053943
45,0.02,zz_full,1,6.750281224036589
45,0.02,zz_full,1,6.649806048417499
45,0.02,zz_full,1,6.152942661522837
45,0.02,zz_full,1,6.047694719330266
45,0.02,zz_full,1,6.066497665375112
45,0.02,zz_full,1,6.086424946542803
45,0.02,zz_full,1,5.832116555618821
45,0.02,zz_full,1,6.287082332934523
45,0.02,zz_full,1,6.36304114170195
45,0.02,zz_full,1,5.7467986837854514
45,0.02,zz_full,1,5.996602693029853
45,0.02,zz_full,1,6.402511315539885
45,0.02,zz_full,1,5.90861844637555
45,0.02,zz_full,1,6.304975470063104
45,0.02,z_only,1,5.821948454536505
45,0.02,z_only,1,6.100533053849059
45,0.02,z_only,1,5.6741834839089185
45,0.02,z_only,1,5.453047468222657
45,0.02,z_only,1,5.2015796574003765
45,0.02,z_only,1,5.906291640232336
45,0.02,z_only,1,5.704059951358092
45,0.02,z_only,1,5.745901747043174
45,0.02,z_only,1,5.398929695604127
45,0.02,z_only,1,5.526183282173166
45,0.02,z_only,1,5.902995583888686
