seed,damping_g,condition,label,delta_pilot
45,0.01,zz_full,1,5.826320830887558
45,0.01,z_only,1,5.958472080380922
45,0.01,z_only,1,6.038468916974424
45,0.01,z_only,1,5.902620664699619
45,0.01,z_only,1,5.237911517047666
45,0.01,z_only,1,5.640204981171125
45,0.01,z_only,1,5.67308974934179
45,0.01,z_only,1,6.4064296640274545
45,0.01,z_only,1,5.79228333759573
45,0.01,z_only,1,5.911287662987063
45,0.01,z_only,1,6.065124672163007
45,0.01,z_only,1,5.47585088513112
45,0.01,z_only,1,5.962096056193192
45,0.01,z_only,1,6.176819086184818
45,0.01,z_only,1,5.786724495378812
45,0.01,z_only,1,5.656669519075318
45,0.02,clean,0,4.176404213374556
45,0.02,clean,0,4.132771240660977
45,0.02,clean,0,3.751408137420392
45,0.02,clean,0,4.274232585339779
45,0.02,clean,0,3.6890280713793744
45,0.02,clean,0,4.382853109959989
45,0.02,clean,0,4.394510668349325
45,0.02,clean,0,4.045921640504232
45,0.02,clean,0,3.713949636408621
45,0.02,clean,0,3.868644959506433
45,0.02,clean,0,4.183756227518666
45,0.02,clean,0,3.88701856625046
45,0.02,clean,0,3.896783056016309
45,0.02,clean,0,3.910078575826006
45,0.02,clean,0,3.694171510067171
45,0.02,zz_full,1,6.399388318813934
45,0.02,zz_full,1,5.1536647864502925
45,0.02,zz_full,1,5.70479429415997
45,0.02,zz_full,1,5.317183856218907
45,0.02,zz_full,1,6.289694655516814
45,0.02,zz_full,1,6.6333131004333765
45,0.02,zz_full,1,5.903563122396672
45,0.02,zz_full,1,5.589255289698077
45,0.02,zz_full,1,6.53237397715264
45,0.02,zz_full,1,6.013761996828798
45,0.02,zz_full,1,5.792391821676792
45,0.02,zz_full,1,5.688970137819232
45,0.02,zz_full,1,6.286222189152859
45,0.02,zz_full,1,6.306646592821368
45,0.02,zz_full,1,6.028394769714223
45,0.02,z_only,1,5.588331339769289
45,0.02,z_only,1,5.699185380025846
45,0.02,z_only,1,5.980409921310193
45,0.02,z_only,1,5.383109639751282
45,0.02,z_only,1,5.202054430445125
45,0.02,z_only,1,5.563277173312652
45,0.02,z_only,1,6.135435845606619
45,0.02,z_only,1,5.839411381788248
45,0.02,z_only,1,5.683131305197061
45,0.02,z_only,1,5.9950064475847755
45,0.02,z_only,1,5.700990427533707
45,0.02,z_only,1,6.2185390863543555
45,0.02,z_only,1,6.362171234269926
45,0.02,z_only,1,5.12165022978286
45,0.02,z_only,1,5.755682040424232
45,0.05,clean,0,3.558061630283226
45,0.05,clean,0,4.104034564676436
45,0.05,clean,0,4.165595163264122
45,0.05,clean,0,3.8173002947433057
